 	12.12.2011 	12:41:58 	 	 	0,00 sm 	      0,00 sm 	 	 	 	 	 	 	letzte Logbuch-Datei ist\nuntil_2011-12-12_12_41_58_logbook.txt 	 	 	 	 	 	 	 	 	 	 	1076:50 h 	01076:50 h 	100,00 Liter 	    100,00 Liter 	 	 	250,00 Liter 	    250,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:10:33 	 	 	0,36 sm 	    23,71 sm 	042° 56,6514' N\n005° 16,5296' E 	180,36° 	 	4,19 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:20:45 	 	 	0,71 sm 	    24,42 sm 	042° 55,9883' N\n005° 16,8605' E 	149,93° 	 	3,56 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:31:17 	 	 	0,61 sm 	    25,03 sm 	042° 55,4116' N\n005° 17,1463' E 	170,46° 	 	3,98 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:32:52 	 	 	0,08 sm 	    25,11 sm 	042° 55,3325' N\n005° 17,1881' E 	167,53° 	 	3,12 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:41:29 	 	 	0,51 sm 	    25,62 sm 	042° 54,8701' N\n005° 17,4759' E 	146,39° 	 	3,56 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:52:34 	 	 	0,66 sm 	    26,28 sm 	042° 54,2754' N\n005° 17,8623' E 	169,97° 	 	3,29 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	21:52:52 	 	 	0,02 sm 	    26,30 sm 	042° 54,2586' N\n005° 17,8732' E 	161,78° 	 	3,46 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	22:03:05 	 	 	0,62 sm 	    26,92 sm 	042° 53,7163' N\n005° 18,2798' E 	140,45° 	 	3,30 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	22:12:52 	 	 	0,63 sm 	    27,55 sm 	042° 53,1797' N\n005° 18,7208' E 	160,87° 	 	4,31 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	22:13:08 	 	 	0,02 sm 	    27,57 sm 	042° 53,1650' N\n005° 18,7330' E 	139,32° 	 	4,69 ktn 	 	 	Automatischer Eintrag\nKursänderung >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	22:32:52 	 	 	1,18 sm 	    28,75 sm 	042° 52,1828' N\n005° 19,6136' E 	143,22° 	 	3,82 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	22:44:14 	 	 	0,64 sm 	    29,39 sm 	042° 51,6895' N\n005° 20,1617' E 	146,81° 	 	3,11 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	22:52:52 	 	 	0,43 sm 	    29,82 sm 	042° 51,3627' N\n005° 20,5517' E 	133,77° 	 	3,61 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	23:11:49 	 	 	0,92 sm 	    30,74 sm 	042° 50,6440' N\n005° 21,3400' E 	165,75° 	 	2,85 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	23:12:52 	 	 	0,05 sm 	    30,79 sm 	042° 50,6035' N\n005° 21,3806' E 	135,15° 	 	3,01 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	23:29:53 	 	 	0,68 sm 	    31,47 sm 	042° 50,0708' N\n005° 21,9573' E 	165,67° 	 	2,60 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	23:32:52 	 	 	0,10 sm 	    31,57 sm 	042° 49,9912' N\n005° 22,0449' E 	138,19° 	 	2,14 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	23:52:52 	 	 	0,79 sm 	    32,36 sm 	042° 49,3796' N\n005° 22,7335' E 	159,00° 	 	1,51 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	10.03.2012 	23:53:03 	 	 	0,01 sm 	    32,37 sm 	042° 49,3755' N\n005° 22,7385' E 	114,64° 	 	1,59 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	00:03:07 	 	 	0,39 sm 	    32,76 sm 	042° 49,0645' N\n005° 23,0609' E 	146,03° 	 	3,01 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	00:12:52 	 	 	0,73 sm 	    33,49 sm 	042° 48,5461' N\n005° 23,7515' E 	127,63° 	 	4,33 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	00:16:40 	 	 	0,30 sm 	    33,79 sm 	042° 48,3276' N\n005° 24,0296' E 	157,96° 	 	4,63 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	00:32:51 	 	 	1,29 sm 	    35,08 sm 	042° 47,2443' N\n005° 24,9862' E 	145,49° 	 	4,62 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	00:52:52 	 	 	1,57 sm 	    36,65 sm 	042° 45,8925' N\n005° 26,0736' E 	152,10° 	 	4,44 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	01:12:52 	 	 	1,55 sm 	    38,20 sm 	042° 44,5525' N\n005° 27,1202' E 	149,75° 	 	4,02 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	01:28:22 	 	 	1,22 sm 	    39,42 sm 	042° 43,4917' N\n005° 27,9241' E 	142,74° 	 	5,06 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	01:32:51 	 	 	0,36 sm 	    39,78 sm 	042° 43,1803' N\n005° 28,1647' E 	149,02° 	 	4,84 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	01:52:51 	 	 	1,59 sm 	    41,37 sm 	042° 41,8412' N\n005° 29,3275' E 	152,12° 	 	4,90 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	02:12:51 	 	 	1,53 sm 	    42,90 sm 	042° 40,6165' N\n005° 30,5786' E 	139,26° 	 	4,79 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	02:32:51 	 	 	1,59 sm 	    44,49 sm 	042° 39,3216' N\n005° 31,8339' E 	152,48° 	 	5,44 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	02:52:51 	 	 	1,63 sm 	    46,12 sm 	042° 37,9836' N\n005° 33,0818' E 	150,06° 	 	4,80 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	03:12:51 	 	 	1,65 sm 	    47,77 sm 	042° 36,6062' N\n005° 34,3026' E 	152,49° 	 	5,19 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	03:32:49 	 	 	1,66 sm 	    49,43 sm 	042° 35,1660' N\n005° 35,4122' E 	154,54° 	 	5,46 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	03:32:51 	 	 	0,00 sm 	    49,43 sm 	042° 35,1648' N\n005° 35,4131' E 	154,33° 	 	4,37 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	03:52:51 	 	 	1,66 sm 	    51,09 sm 	042° 33,7002' N\n005° 36,4798' E 	149,99° 	 	4,45 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	04:12:51 	 	 	1,72 sm 	    52,81 sm 	042° 32,1841' N\n005° 37,5703' E 	152,40° 	 	4,96 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	04:32:51 	 	 	1,76 sm 	    54,57 sm 	042° 30,6200' N\n005° 38,6646' E 	158,24° 	 	5,02 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	04:52:51 	 	 	1,71 sm 	    56,28 sm 	042° 29,1306' N\n005° 39,7843' E 	150,45° 	 	5,21 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	05:12:51 	 	 	1,68 sm 	    57,96 sm 	042° 27,6526' N\n005° 40,8488' E 	152,01° 	 	5,42 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	05:30:05 	 	 	1,47 sm 	    59,43 sm 	042° 26,3291' N\n005° 41,7145' E 	152,09° 	 	6,71 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	05:32:51 	 	 	0,24 sm 	    59,67 sm 	042° 26,1161' N\n005° 41,8537' E 	151,15° 	 	5,63 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	05:35:06 	 	 	0,20 sm 	    59,87 sm 	042° 25,9351' N\n005° 41,9626' E 	183,38° 	 	6,21 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	05:45:15 	 	 	0,90 sm 	    60,77 sm 	042° 25,1221' N\n005° 42,4772' E 	146,21° 	 	5,20 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	05:52:50 	 	 	0,70 sm 	    61,47 sm 	042° 24,4936' N\n005° 42,8791' E 	156,64° 	 	5,41 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	06:12:49 	 	 	1,81 sm 	    63,28 sm 	042° 22,8611' N\n005° 43,9212' E 	160,97° 	 	5,38 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	06:32:50 	 	 	1,79 sm 	    65,07 sm 	042° 21,2741' N\n005° 45,0307' E 	148,21° 	 	5,53 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	06:52:50 	 	 	1,75 sm 	    66,82 sm 	042° 19,7288' N\n005° 46,1439' E 	147,88° 	 	5,26 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	07:12:50 	 	 	1,72 sm 	    68,54 sm 	042° 18,2112' N\n005° 47,2314' E 	141,40° 	 	5,64 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	07:23:15 	 	 	0,90 sm 	    69,44 sm 	042° 17,4131' N\n005° 47,7919' E 	151,48° 	 	5,36 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	07:32:50 	 	 	0,82 sm 	    70,26 sm 	042° 16,6848' N\n005° 48,3051' E 	158,35° 	 	4,57 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	07:52:50 	 	 	1,74 sm 	    72,00 sm 	042° 15,1781' N\n005° 49,4827' E 	147,27° 	 	5,79 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	08:12:50 	 	 	1,75 sm 	    73,75 sm 	042° 13,6883' N\n005° 50,7272' E 	153,18° 	 	4,45 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	08:32:50 	 	 	1,82 sm 	    75,57 sm 	042° 12,1248' N\n005° 51,9703' E 	145,65° 	 	5,80 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	08:52:50 	 	 	1,83 sm 	    77,40 sm 	042° 10,5883' N\n005° 53,3057' E 	155,69° 	 	5,88 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:12:49 	 	 	1,89 sm 	    79,29 sm 	042° 08,9581' N\n005° 54,5763' E 	148,24° 	 	6,66 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:14:20 	 	 	0,15 sm 	    79,44 sm 	042° 08,8276' N\n005° 54,6689' E 	142,26° 	 	5,91 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:32:49 	 	 	1,74 sm 	    81,18 sm 	042° 07,2982' N\n005° 55,7673' E 	160,68° 	 	4,84 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:36:48 	 	 	0,36 sm 	    81,54 sm 	042° 06,9888' N\n005° 56,0168' E 	129,92° 	 	6,20 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:47:25 	 	 	0,95 sm 	    82,49 sm 	042° 06,1733' N\n005° 56,6666' E 	161,36° 	 	5,47 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:52:50 	 	 	0,48 sm 	    82,97 sm 	042° 05,7530' N\n005° 56,9816' E 	138,49° 	 	5,46 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	09:59:26 	 	 	0,58 sm 	    83,55 sm 	042° 05,2437' N\n005° 57,3542' E 	169,58° 	 	5,45 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:09:51 	 	 	0,92 sm 	    84,47 sm 	042° 04,4277' N\n005° 57,9250' E 	136,20° 	 	4,91 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:12:49 	 	 	0,26 sm 	    84,73 sm 	042° 04,1969' N\n005° 58,0923' E 	159,17° 	 	4,65 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:20:26 	 	 	0,67 sm 	    85,40 sm 	042° 03,6108' N\n005° 58,5262' E 	127,36° 	 	5,39 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:30:32 	 	 	0,90 sm 	    86,30 sm 	042° 02,8218' N\n005° 59,0973' E 	157,43° 	 	6,56 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:32:49 	 	 	0,21 sm 	    86,51 sm 	042° 02,6432' N\n005° 59,2386' E 	164,61° 	 	4,59 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:42:08 	 	 	0,85 sm 	    87,36 sm 	042° 01,8882' N\n005° 59,7591' E 	134,60° 	 	5,46 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:52:49 	 	 	0,96 sm 	    88,32 sm 	042° 01,0251' N\n006° 00,3251' E 	144,10° 	 	5,32 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	10:55:12 	 	 	0,22 sm 	    88,54 sm 	042° 00,8301' N\n006° 00,4507' E 	174,68° 	 	5,18 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	11:05:17 	 	 	0,91 sm 	    89,45 sm 	042° 00,0220' N\n006° 01,0042' E 	153,95° 	 	5,35 ktn 	 	 	automatic line\nDistance > 10sm 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	11:12:49 	 	 	0,65 sm 	    90,10 sm 	041° 59,4453' N\n006° 01,4123' E 	142,07° 	 	5,60 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
StLouis-SidiBouSaid 	11.03.2012 	11:12:51 	 	 	0,00 sm 	    90,10 sm 	041° 59,4434' N\n006° 01,4133' E 	173,13° 	 	4,24 ktn 	 	 	Automatischer Eintrag\nKursänderung >30° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	0,00 Liter 	      0,00 Liter 	 	 	0,00 Liter 	      0,00 Liter 	  
