#1.2#	
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	36 	55 	 	 	0,00 sm 	     0,18 sm 	035° 46,7655' N\n010° 49,9872' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	36 	58 	 	 	0,00 sm 	     0,18 sm 	035° 46,7656' N\n010° 49,9875' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	37 	52 	 	 	0,00 sm 	     0,18 sm 	035° 46,7661' N\n010° 49,9867' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	37 	57 	 	 	0,00 sm 	     0,18 sm 	035° 46,7665' N\n010° 49,9865' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	37 	58 	 	 	0,00 sm 	     0,18 sm 	035° 46,7666' N\n010° 49,9867' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	37 	59 	 	 	0,00 sm 	     0,18 sm 	035° 46,7668' N\n010° 49,9871' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0,00 l 	     80,00 l 	Groß, Genua 1\nSpinnacker 	 	+0,00 l 	    240,00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0,00 Ah 	    170,00 Ah 	+0,00 Ah 	     70,00 Ah 	00:00 h 	00000:00 h 	+0.00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	13 	43 	27 	 	 	0,00 sm 	     0,18 sm 	035° 46,7649' N\n010° 49,9849' E 	237,33° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	21:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	13 	45 	36 	 	 	0,00 sm 	     0,18 sm 	035° 46,7654' N\n010° 49,9870' E 	237,33° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	13 	45 	38 	 	 	0,00 sm 	     0,18 sm 	035° 46,7649' N\n010° 49,9870' E 	237,33° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	13 	45 	43 	 	 	0,00 sm 	     0,18 sm 	035° 46,7649' N\n010° 49,9865' E 	237,33° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	13 	45 	45 	 	 	0,00 sm 	     0,18 sm 	035° 46,7645' N\n010° 49,9869' E 	237,33° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	14 	46 	43 	 	 	0,00 sm 	     0,18 sm 	035° 46,7637' N\n010° 49,9864' E 	nan° 	 	nan kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	14 	46 	47 	 	 	0.00 sm 	     0,18 sm 	035° 46,7637' N\n010° 49,9864' E 	nan° 	 	nan kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	14 	47 	39 	 	 	0.00 sm 	     0,18 sm 	035° 46,7637' N\n010° 49,9864' E 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	14 	47 	40 	 	 	0.00 sm 	     0,18 sm 	035° 46,7637' N\n010° 49,9864' E 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	14 	47 	41 	 	 	0.00 sm 	     0,18 sm 	035° 46,7637' N\n010° 49,9864' E 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	14 	47 	42 	 	 	0.00 sm 	     0,18 sm 	035° 46,7637' N\n010° 49,9864' E 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	30 	2013 	13 	48 	41 	 	 	0,00 sm 	     0,18 sm 	035° 46,7666' N\n010° 49,9865' E 	nan° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00021:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	5 	5 	2013 	15 	24 	32 	S 	 	0,01 sm 	     0,19 sm 	035° 46,7640' N\n010° 49,9800' E 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	144:00 h 	00165:00 h 	+0,00 l 	     80,00 l 	Groß, Genua 1\nSpinnacker 	 	+0,00 l 	    240,00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0,00 Ah 	    170,00 Ah 	+0,00 Ah 	     70,00 Ah 	00:00 h 	00000:00 h 	+0.00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	6 	20 	2013 	15 	5 	13 	S 	 	0,00 sm 	     0,19 sm 	035° 46,7640' N\n010° 49,9860' E 	 	 	 	 	 	kein GPS-Signal 	 	 	 	 	 	 	 	 	 	 	715:26 h 	00880:26 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
